"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.321207708E0,-3.716172180E0,5.173466721E1,-1.300585419E1,5.347371288E1
2.331211708E0,-9.654922485E-1,6.314918060E1,-2.094264954E1,6.653830292E1
2.341216708E0,9.600435791E0,6.301161667E1,-1.195758408E1,6.485072104E1
2.351220708E0,1.481035172E1,4.031341782E1,3.134691376E1,5.317092416E1
2.361225708E0,1.100975510E1,1.918665115E1,1.667083282E1,2.769943965E1
2.371229500E0,1.136002670E1,1.710986984E1,-7.127278748E0,2.173927218E1
2.381234500E0,1.128563141E1,1.641651169E1,-3.234623566E0,2.018242111E1
2.391238500E0,1.102173019E1,1.046907944E1,6.135141907E0,1.639268517E1
2.401243500E0,1.161030624E1,7.452702026E0,8.863667908E0,1.639837148E1
2.411247500E0,1.093371323E1,9.515562286E0,2.306104431E0,1.467685689E1
2.421252500E0,9.219927063E0,1.197554672E1,1.309776306E-1,1.511416321E1
2.431256500E0,9.247170410E0,1.370939117E1,3.940854950E0,1.699964425E1
2.441261500E0,8.547076263E0,1.495195724E1,7.553143158E0,1.880594347E1
2.451265500E0,4.093238068E0,1.496048950E1,6.601272583E0,1.685667950E1
2.461270500E0,8.918453979E-1,1.353904541E1,5.184019775E0,1.452498537E1
2.471274500E0,-6.213578796E-1,1.134206406E1,4.668192444E0,1.228090076E1
2.481279500E0,-1.134790192E0,9.698631592E0,4.677024078E0,1.082708445E1
2.491283500E0,-1.155746613E0,8.811875610E0,4.716541901E0,1.006134531E1
2.501288500E0,-9.059161377E-1,8.140372009E0,4.364773407E0,9.281033746E0
2.511292500E0,-5.108876038E-1,7.315437469E0,3.137774963E0,7.976356514E0
2.521297500E0,8.981323242E-2,6.649172974E0,1.334624634E0,6.782388264E0
2.531301500E0,7.286846924E-1,6.124214630E0,-2.016307068E-1,6.170708319E0
2.541306500E0,1.202299805E0,5.752687225E0,-1.098715210E0,5.978805085E0
2.551310500E0,1.463806000E0,5.794300690E0,-1.329235840E0,6.122378329E0
2.561315500E0,1.551523590E0,5.917344818E0,-1.276096344E0,6.249049290E0
2.571319500E0,1.500180359E0,6.237828369E0,-8.666976929E-1,6.473963914E0
2.581324500E0,1.423988800E0,6.415658569E0,-3.974235535E-1,6.583795597E0
2.591328500E0,1.271905060E0,6.442153473E0,-1.067280579E-1,6.567379594E0
2.601333500E0,1.040486298E0,6.076613617E0,1.041833496E-1,6.165930502E0
2.611337500E0,8.514294434E-1,5.377716980E0,2.802172852E-1,5.451907349E0
2.621342500E0,7.417076111E-1,4.602479095E0,2.589614868E-1,4.669047553E0
2.631346500E0,7.466473389E-1,3.740272064E0,-1.841171265E-2,3.814112787E0
2.641351500E0,8.110134888E-1,2.993774414E0,-1.118174744E-1,3.103696388E0
2.651356500E0,7.828720093E-1,2.317181396E0,-8.741821289E-2,2.447419080E0
2.661360500E0,4.799020386E-1,1.258433075E0,3.417393494E-1,1.389512704E0
2.671365500E0,3.906875610E-2,1.475930786E-1,1.640887756E0,1.647975338E0
2.681369500E0,-8.095166016E-1,-6.134243774E-1,3.544628906E0,3.687275509E0
2.691374500E0,-1.641486511E0,1.328337708E0,4.284091187E0,4.776232441E0
2.701378500E0,-6.039939880E-1,4.703369293E0,2.535726929E0,5.377397373E0
2.711383500E0,3.028202820E-1,7.222480774E0,1.155596924E-1,7.229749836E0
2.721387500E0,8.217910767E-1,1.078866486E1,-1.068178711E0,1.087251745E1
2.731392500E0,8.165519714E-1,1.495944168E1,-1.077010345E0,1.502037296E1
2.741396500E0,3.493734741E-1,1.866573441E1,4.981640625E-1,1.867564912E1
2.751401500E0,-1.895059204E-1,2.186577988E1,3.923341370E0,2.221577929E1
2.761405500E0,-4.939727783E-3,1.977283218E1,5.797593842E0,2.060526659E1
2.771410500E0,1.059197388E0,1.483669693E1,4.142036591E0,1.544039967E1
2.781414500E0,1.700463867E0,1.192480225E1,2.174528046E0,1.224014127E1
2.791419500E0,1.773362274E0,1.028765671E1,1.346599731E0,1.052587408E1
2.801423500E0,1.859283600E0,8.885372772E0,2.017953644E0,9.299404374E0
2.811428500E0,2.112856293E0,7.208709412E0,3.666475525E0,8.358988926E0
2.821432500E0,2.407892761E0,5.661077728E0,5.952821045E0,8.560480535E0
2.831437500E0,1.733844452E0,5.511838074E0,7.160809021E0,9.201291288E0
2.841441500E0,2.113604736E-1,7.122488708E0,6.646777954E0,9.744443331E0
2.851446500E0,-5.334906006E-1,8.714877319E0,5.942791901E0,1.056174581E1
2.861450500E0,-8.698411560E-1,1.004905289E1,4.819827118E0,1.117903489E1
2.871455500E0,-1.168769531E0,1.085153412E1,3.253634033E0,1.138893978E1
2.881459500E0,-1.485510864E0,1.022224274E1,1.579365692E0,1.044965957E1
2.891464500E0,-1.465003510E0,9.220226440E0,5.041516113E-1,9.349490881E0
2.901468500E0,-1.274749146E0,9.150621185E0,-7.259902954E-2,9.239270755E0
2.911473500E0,-8.653504944E-1,9.618099060E0,-4.507127380E-1,9.667461041E0
2.921477500E0,-1.499880981E-1,1.018047958E1,-5.432203674E-1,1.019606539E1
2.931482500E0,9.024732971E-1,1.048255142E1,-2.068698120E-1,1.052336151E1
2.941486500E0,1.905088348E0,1.005863297E1,4.550537109E-1,1.024756228E1
2.951491500E0,2.425855408E0,8.454119568E0,4.348457336E-1,8.806020835E0
2.961495500E0,2.417472839E0,7.012168121E0,-2.091151428E-1,7.420135163E0
2.971500500E0,2.232457581E0,6.656956787E0,-9.620494080E-1,7.086923139E0
2.981504500E0,2.042502594E0,6.721023560E0,-1.382225647E0,7.159226374E0
2.991509500E0,1.872306519E0,6.936126251E0,-1.016835480E0,7.255986044E0
3.001514500E0,2.144889679E0,7.051985321E0,5.792953491E-2,7.371187458E0
3.011518500E0,2.720293121E0,6.902446289E0,1.937870178E0,7.668057138E0
3.021523500E0,3.775149536E0,6.653064880E0,5.106031952E0,9.197096749E0
3.031527500E0,4.575535126E0,6.383176117E0,8.162226562E0,1.132706500E1
3.041532500E0,3.367098083E0,6.126010895E0,7.372917938E0,1.015998415E1
3.051536500E0,1.833387451E0,6.017636261E0,4.087549896E0,7.502087701E0
3.061541500E0,1.412163391E0,6.363716583E0,1.272653503E0,6.641591762E0
3.071545500E0,9.732760620E-1,7.208410034E0,9.639953613E-2,7.274457669E0
3.081550500E0,6.297404480E-1,8.091124420E0,2.815644836E-1,8.120476955E0
3.091554500E0,6.420149231E-1,8.918603668E0,1.434467010E0,9.056012928E0
3.101559500E0,-3.453318787E-1,1.052940399E1,2.981200562E0,1.094875150E1
3.111563500E0,-2.376757507E0,1.178364578E1,3.876189423E0,1.263044451E1
3.121568500E0,-3.879931641E0,1.127994324E1,3.863016815E0,1.253849624E1
3.131572500E0,-4.303999786E0,1.022867935E1,4.979844360E0,1.216343477E1
3.141577500E0,-3.435356140E0,9.277856598E0,5.612728271E0,1.137466542E1
3.151581500E0,-1.969903564E0,8.177345123E0,4.229454803E0,9.414764004E0
3.161586500E0,-1.288819885E-1,6.752009125E0,2.056723022E0,7.059486340E0
3.171590500E0,1.205443268E0,5.339396667E0,1.267863464E-1,5.475246572E0
3.181595500E0,2.231110382E0,4.322710876E0,-1.853745117E0,5.205771203E0
3.191599500E0,3.064876556E0,4.187392273E0,-3.373834076E0,6.189545922E0
3.201604500E0,3.590134277E0,5.062622223E0,-3.746409302E0,7.249468295E0
3.211608500E0,4.954247589E0,7.091652832E0,1.354682922E-1,8.651847243E0
3.221613500E0,8.727002106E0,1.101873642E1,9.894125061E0,1.718914858E1
3.231617500E0,1.007270370E1,1.529175064E1,4.816683655E0,1.893402860E1
3.241622500E0,9.871971130E0,1.915177368E1,-5.258415070E0,2.217875511E1
3.251626500E0,1.228869553E1,2.313229614E1,-2.758314056E0,2.633863055E1
3.261631500E0,1.373124573E1,2.301943085E1,4.842280426E0,2.723763913E1
3.271635500E0,1.180789536E1,1.669403458E1,3.762425995E0,2.079117680E1
3.281640500E0,1.160446838E1,9.506580963E0,3.942351837E0,1.551067072E1
3.291644500E0,9.000333710E0,4.477489014E0,5.309758301E0,1.136870476E1
