"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.415342750E0,-6.694079590E-1,-1.007135651E1,4.978646851E-1,1.010584970E1
1.425347750E0,-8.005352783E-1,-1.001552261E1,6.556365967E-1,1.006883356E1
1.435352750E0,-8.816665649E-1,-1.003647903E1,1.056652679E0,1.013038806E1
1.445356750E0,-9.193881226E-1,-1.015263748E1,1.164877625E0,1.026051959E1
1.455361750E0,-1.107397156E0,-1.029050079E1,7.620652771E-1,1.037793229E1
1.465366750E0,-1.362017670E0,-1.036055511E1,2.676434326E-1,1.045312525E1
1.475371750E0,-1.648072815E0,-1.025846741E1,8.666976929E-2,1.039037098E1
1.485376750E0,-2.063009949E0,-1.004426285E1,1.859133911E-1,1.025562236E1
1.495381750E0,-2.356399841E0,-9.739795990E0,3.245251465E-1,1.002604422E1
1.505386750E0,-2.563269653E0,-9.444759521E0,3.713777161E-1,9.793454709E0
1.515390750E0,-2.627486115E0,-9.235345001E0,3.046165466E-1,9.606668091E0
1.525395750E0,-2.535876617E0,-9.124425659E0,1.314266968E-1,9.471171353E0
1.535400750E0,-2.298021240E0,-9.133406982E0,-2.098635864E-1,9.420406968E0
1.545405750E0,-1.963017883E0,-9.248816986E0,-6.929090881E-1,9.480199252E0
1.555410750E0,-1.542242889E0,-9.542356567E0,-1.256187744E0,9.747465806E0
1.565415750E0,-1.372196503E0,-1.028750702E1,-1.610800323E0,1.050287587E1
1.575420750E0,-1.413360901E0,-1.153755753E1,-1.586999817E0,1.173164060E1
1.585424750E0,-1.472637634E0,-1.292846512E1,-1.319057007E0,1.307875313E1
1.595429750E0,-1.273401947E0,-1.396505951E1,-7.479945374E-1,1.404293187E1
1.605434750E0,-2.064207458E-1,-1.364068405E1,-2.140548706E-2,1.364226261E1
1.615439750E0,8.455915833E-1,-1.139385635E1,3.412902832E-1,1.143028726E1
1.625444750E0,1.044827271E0,-9.528435516E0,2.615061951E-1,9.589115335E0
1.635449750E0,1.303040314E0,-8.440497894E0,2.083666992E-1,8.543028470E0
1.645454750E0,1.540147247E0,-7.793992310E0,3.296145630E-1,7.951541701E0
1.655458750E0,1.583107910E0,-7.511380005E0,6.256988525E-1,7.701854276E0
1.665463750E0,1.687291260E0,-7.514673157E0,1.012644196E0,7.768057203E0
1.675468750E0,1.799707489E0,-8.109386444E0,1.427880707E0,8.428519375E0
1.685473750E0,1.681004333E0,-9.022038574E0,1.695673828E0,9.332645141E0
1.695478750E0,1.440454559E0,-9.844578094E0,1.597478027E0,1.007683300E1
1.705483750E0,1.002914429E0,-1.061038559E1,1.066532135E0,1.071091082E1
1.715488750E0,5.201683044E-1,-1.127545258E1,3.610491943E-1,1.129321754E1
1.725492750E0,3.372486877E-1,-1.170730453E1,-1.607656860E-1,1.171326435E1
1.735497750E0,3.219804382E-1,-1.189770859E1,-4.980143738E-1,1.191247914E1
1.745502750E0,3.481759644E-1,-1.167766617E1,-6.412664795E-1,1.170044172E1
1.755507750E0,4.414320374E-1,-1.104044128E1,-6.349795532E-1,1.106749317E1
1.765512750E0,4.706213379E-1,-1.034423904E1,-4.945715332E-1,1.036674331E1
1.775517750E0,3.197351074E-1,-9.931397552E0,-3.680845642E-1,9.943358292E0
1.785522750E0,-2.053729248E-1,-9.838440857E0,-1.140628052E-1,9.841245188E0
1.795526750E0,-6.962022400E-1,-9.993967438E0,9.352551270E-1,1.006174860E1
1.805531750E0,-1.618284760E0,-1.001896545E1,2.621498566E0,1.048192583E1
1.815536750E0,-2.114203491E0,-9.895771637E0,3.770958252E0,1.079890174E1
1.825541750E0,-1.609153748E0,-9.429940338E0,4.430636444E0,1.054247077E1
1.835546750E0,-8.445437622E-1,-8.805438995E0,4.597539368E0,9.969271704E0
1.845551750E0,-2.309696960E-1,-8.282725983E0,4.233047333E0,9.304600283E0
1.855556750E0,2.668949890E-1,-7.886499939E0,3.377875671E0,8.583598213E0
1.865560750E0,7.450007629E-1,-7.676636353E0,2.320324860E0,8.054171545E0
1.875565750E0,1.178199921E0,-7.580685883E0,1.315614166E0,7.783687695E0
1.885570750E0,1.598226471E0,-7.459138641E0,5.152285767E-1,7.645818309E0
1.895575750E0,1.635798340E0,-7.321125641E0,-1.474433899E-1,7.503096455E0
1.905580750E0,1.673968964E0,-7.139553223E0,-6.364764404E-1,7.360740083E0
1.915585750E0,1.653012543E0,-7.016958160E0,-8.634045410E-1,7.260552299E0
1.925590750E0,1.323847046E0,-7.222181396E0,-6.911128235E-1,7.374965224E0
1.935594750E0,8.267308044E-1,-7.611072693E0,-2.158511353E-1,7.658883931E0
1.945599750E0,1.077758789E-1,-7.908354492E0,3.212319946E-1,7.915609668E0
1.955604750E0,-7.530839539E-1,-8.083939362E0,7.238946533E-1,8.151149276E0
1.965609750E0,-1.465302887E0,-8.600066071E0,1.226998444E0,8.809867998E0
1.975614750E0,-2.314786377E0,-9.377848663E0,2.177821198E0,9.901776946E0
1.985619750E0,-3.308719482E0,-1.000654129E1,3.540886688E0,1.111828997E1
1.995624750E0,-3.969146118E0,-1.032403107E1,4.551285553E0,1.196051582E1
2.005628750E0,-3.932771759E0,-1.071172485E1,4.753964081E0,1.236154996E1
2.015633750E0,-3.353027344E0,-1.118309464E1,4.384232941E0,1.247100222E1
2.025638750E0,-2.402354279E0,-1.175101364E1,4.614154816E0,1.285099422E1
2.035643750E0,-1.804796906E0,-1.215292786E1,5.771847382E0,1.357443073E1
2.045648750E0,-2.655926971E0,-1.194261520E1,6.883435822E0,1.403786646E1
2.055653750E0,-3.426674194E0,-1.123309067E1,6.540049896E0,1.344234632E1
2.065658750E0,-3.415148163E0,-9.950408020E0,5.191803589E0,1.173152510E1
2.075663750E0,-3.174598389E0,-8.537795563E0,3.511697388E0,9.762379144E0
2.085667750E0,-2.645897827E0,-7.354206848E0,1.495240631E0,7.957441688E0
2.095672750E0,-1.735491028E0,-6.896009674E0,-3.600013733E-1,7.120146032E0
2.105677750E0,-5.533992004E-1,-7.624993744E0,-1.526076508E0,7.795876460E0
2.115682750E0,7.214996338E-2,-9.479187927E0,-1.885030060E0,9.665068427E0
2.125687750E0,-2.856060791E-1,-1.207703568E1,-1.783840485E0,1.221140649E1
2.135692750E0,-6.616241455E-1,-1.504775803E1,-1.154249725E0,1.510645758E1
2.145697750E0,-5.218148804E-1,-1.724533813E1,-3.276686096E-1,1.725634216E1
2.155697792E0,1.734892273E-1,-1.693398560E1,1.630110168E-1,1.693565881E1
2.165702792E0,1.678759003E0,-1.322859100E1,8.057743835E-1,1.335900910E1
2.175707792E0,3.079396362E0,-9.539063416E0,1.747017059E0,1.017489466E1
2.185712792E0,4.151167603E0,-7.216493225E0,3.118016052E0,8.889993871E0
2.195717792E0,4.449946289E0,-5.756579132E0,3.732787628E0,8.177648119E0
2.205722792E0,3.679797821E0,-5.369783478E0,2.510130157E0,6.976835960E0
2.215727792E0,1.944606171E0,-5.776188354E0,4.495152283E-1,6.111293562E0
2.225731792E0,3.451821899E-1,-6.323150940E0,-1.207239532E0,6.446612742E0
2.235736792E0,1.514849854E-1,-6.564598846E0,-2.239343262E0,6.937691544E0
2.245741792E0,6.176156616E-1,-6.871909790E0,-2.859952698E0,7.468863548E0
2.255746792E0,6.402186584E-1,-7.590415649E0,-3.084036713E0,8.218002927E0
2.265751792E0,4.643344116E-1,-8.685837708E0,-2.948718109E0,9.184460878E0
2.275756792E0,4.577481079E-1,-9.808353424E0,-2.587818604E0,1.015431609E1
2.285761792E0,6.036946106E-1,-1.057401123E1,-2.056273956E0,1.078899547E1
2.295765792E0,1.113983459E0,-1.078043198E1,-1.215771790E0,1.090581376E1
2.305770792E0,2.334994354E0,-1.060499680E1,1.013392639E-1,1.085948550E1
2.315775792E0,3.774550781E0,-1.028346542E1,1.572330322E0,1.106657659E1
2.325780792E0,4.358785858E0,-1.033870056E1,1.377884674E0,1.130426068E1
2.335785792E0,3.882925415E0,-1.032358200E1,2.291734314E-1,1.103204313E1
2.345790792E0,2.376009064E0,-1.025562332E1,-4.430786133E-1,1.053658139E1
2.355795792E0,1.025966492E0,-1.017509079E1,-7.346722412E-1,1.025303970E1
2.365799792E0,7.306306458E-1,-1.002674927E1,-9.545649719E-1,1.009855021E1
2.375804792E0,8.321195984E-1,-9.852960663E0,-1.111588440E0,9.950320885E0
2.385809792E0,9.857002258E-1,-9.823172607E0,-1.135987701E0,9.937645248E0
2.395814792E0,1.266366577E0,-9.770631866E0,-9.704319763E-1,9.900033818E0
2.405819792E0,1.420695648E0,-9.635313263E0,-6.453080750E-1,9.760843217E0
2.415824792E0,1.427581329E0,-9.470056915E0,-2.426454163E-1,9.580127516E0
