"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.069294708E0,2.139800262E0,-7.226971436E0,-7.795189819E0,1.084310129E1
1.079299708E0,1.473984833E0,-7.116950226E0,-8.594976654E0,1.125598665E1
1.089303708E0,9.154962158E-1,-6.912325745E0,-9.431586914E0,1.172916076E1
1.099308708E0,4.068539429E-1,-6.596632233E0,-1.012689102E1,1.209276679E1
1.109313708E0,7.349716187E-2,-6.179000702E0,-1.049991531E1,1.218333588E1
1.119317708E0,-2.600093079E-1,-5.895041199E0,-9.705517273E0,1.135852900E1
1.129322708E0,-1.610650635E-1,-5.662724304E0,-8.031997375E0,9.828803098E0
1.139327708E0,4.939727783E-3,-5.291645966E0,-6.411167908E0,8.312918583E0
1.149331708E0,2.092648315E-1,-5.032385101E0,-5.319787445E0,7.325901312E0
1.159336708E0,2.119592285E-1,-4.696633301E0,-5.123994598E0,6.954035643E0
1.169341708E0,1.413061523E-1,-4.315226440E0,-5.622757416E0,7.089185258E0
1.179345708E0,-6.438111877E-1,-3.552861786E0,-5.669310608E0,6.721488115E0
1.189350708E0,-1.189127197E0,-2.883304138E0,-5.350922699E0,6.193532108E0
1.199355708E0,-1.404978333E0,-2.350412292E0,-4.621339874E0,5.371702178E0
1.209359708E0,-1.391356659E0,-1.973196716E0,-3.529959412E0,4.276680030E0
1.219364708E0,-8.870553589E-1,-1.756148071E0,-2.357447662E0,3.070583452E0
1.229369708E0,-4.819976807E-1,-1.454824677E0,-1.223256226E0,1.960916214E0
1.239373708E0,-1.685494995E-1,-1.124910736E0,-4.899311829E-1,1.238493303E0
1.249378708E0,-1.082249451E-1,-7.964936829E-1,-1.603166199E-1,8.196439740E-1
1.259383708E0,-2.249821472E-1,-3.643423462E-1,-1.115180969E-1,4.424913533E-1
1.269387833E0,-3.466790771E-1,2.297721863E-1,8.098159790E-2,4.237212047E-1
1.279392833E0,-3.412902832E-1,6.976991272E-1,1.423539734E-1,7.896377544E-1
1.289397833E0,-4.138893127E-1,8.502319336E-1,1.836680603E-1,9.632926142E-1
1.299401833E0,-4.721182251E-1,9.961784363E-1,5.658233643E-1,1.239121937E0
1.309406833E0,6.032455444E-2,1.139580231E0,1.413211212E0,1.816438296E0
1.319411833E0,3.882925415E-1,9.961784363E-1,2.138303375E0,2.390707824E0
1.329415833E0,4.830455017E-1,1.006506958E0,2.216291199E0,2.481599462E0
1.339420833E0,4.396357727E-1,9.398954773E-1,2.094444580E0,2.337387691E0
1.349425833E0,3.134481812E-1,8.916957092E-1,1.691332855E0,1.937518471E0
1.359429833E0,1.634600830E-1,9.412426758E-1,1.300645294E0,1.613795264E0
1.369434833E0,5.613327026E-2,1.200353851E0,1.372196503E0,1.823985623E0
1.379439833E0,-1.628613281E-1,1.355281677E0,1.293310547E0,1.880416020E0
1.389443833E0,-5.593867493E-1,1.404379578E0,8.818162537E-1,1.750084409E0
1.399448833E0,-8.048762512E-1,1.394799500E0,8.545729065E-1,1.823070563E0
1.409453833E0,-9.057664490E-1,1.395547943E0,9.801617432E-1,1.930980053E0
1.419457833E0,-6.041436768E-1,1.324745178E0,1.054557037E0,1.797784724E0
1.429462833E0,-2.357597351E-1,9.809101868E-1,9.265731812E-1,1.369782942E0
1.439467833E0,-1.917512512E-1,1.025966492E0,1.117126923E0,1.528838888E0
1.449471833E0,-2.377056885E-1,1.083147583E0,1.258133698E0,1.677084697E0
1.459476833E0,-3.960763550E-1,1.118474121E0,1.175804901E0,1.670442458E0
1.469481833E0,-6.107299805E-1,1.163979492E0,1.200204163E0,1.779980168E0
1.479485833E0,-5.776487732E-1,1.172661438E0,1.155896301E0,1.744966823E0
1.489490833E0,-5.670208740E-1,1.109343109E0,1.356928253E0,1.842120813E0
1.499495833E0,-3.222798157E-1,9.325607300E-1,1.308279419E0,1.638636272E0
1.509499833E0,-7.289840698E-2,1.038839722E0,1.825304260E0,2.101484663E0
1.519504833E0,8.711883545E-2,1.414259033E0,2.429148560E0,2.812202167E0
1.529509833E0,2.302212524E-1,2.063459015E0,2.969375153E0,3.623265617E0
1.539513833E0,4.465214539E-1,3.028502197E0,3.621119843E0,4.741699683E0
1.549518833E0,2.143542480E-1,4.397405548E0,4.709656219E0,6.447013650E0
1.559523833E0,-1.025966492E0,6.236930237E0,6.360423431E0,8.966989029E0
1.569527833E0,-2.598147125E0,9.598938904E0,6.817872162E0,1.205708826E1
1.579532833E0,-4.242777100E0,1.148142426E1,9.729467468E0,1.563607360E1
1.589537833E0,-4.008514252E0,1.045800247E1,1.207239532E1,1.646756603E1
1.599541833E0,-3.771856384E0,1.047491730E1,1.081695602E1,1.552280035E1
1.609546833E0,-4.179608459E0,1.096784225E1,1.274494675E1,1.732617552E1
1.619551833E0,-3.074606323E0,1.019065842E1,1.667846695E1,1.978570147E1
1.629555833E0,-1.458417206E0,9.446705475E0,1.794812668E1,2.033476030E1
1.639560833E0,-8.467890930E-1,9.221423950E0,1.759965134E1,1.988716769E1
1.649565833E0,-2.888992310E-2,9.635762329E0,1.818702988E1,2.058195341E1
1.659569833E0,5.287005615E-1,1.057026901E1,1.917302948E1,2.190011805E1
1.669574833E0,3.132984924E-1,1.176298874E1,2.030437683E1,2.346771780E1
1.679579833E0,1.865121460E-1,1.268896317E1,2.124711639E1,2.474842476E1
1.689583833E0,9.355545044E-2,1.325418777E1,2.224359421E1,2.589323714E1
1.699588833E0,2.656974792E-1,1.308878174E1,2.285881485E1,2.634221363E1
1.709593833E0,1.001118164E0,1.242131973E1,2.268592438E1,2.588324915E1
1.719597833E0,1.199006653E0,1.159279266E1,2.163301392E1,2.457270335E1
1.729602833E0,1.078956299E0,1.093640762E1,2.031799850E1,2.309957189E1
