"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.202217292E0,1.345701599E-1,1.126707001E0,9.031618652E0,9.102621231E0
1.212222292E0,-3.353027344E-1,1.337319031E0,8.894354095E0,9.000576920E0
1.222227292E0,-7.658074951E-1,1.407073975E0,8.882828064E0,9.026126118E0
1.232233292E0,-7.786807251E-1,1.471290436E0,8.900191956E0,9.054526827E0
1.242238292E0,-4.007167053E-1,1.720671844E0,9.072034607E0,9.242461652E0
1.252243292E0,-1.035845947E-1,1.988914032E0,9.273515625E0,9.484967098E0
1.262253167E0,-3.037184143E-1,2.089654541E0,9.272617493E0,9.510012415E0
1.272258167E0,-5.150788879E-1,2.113904114E0,9.191037140E0,9.445054821E0
1.282264167E0,-6.331832886E-1,2.095342712E0,9.051826630E0,9.312730399E0
1.292269167E0,-8.053253174E-1,2.031874695E0,9.034462738E0,9.295083679E0
1.302274167E0,-9.192384338E-1,1.938468933E0,9.109307098E0,9.358532840E0
1.312280167E0,-7.764353943E-1,1.497935028E0,9.270372162E0,9.422656806E0
1.322285167E0,-6.664141846E-1,1.124761047E0,9.674082642E0,9.762021831E0
1.332290167E0,-5.965095520E-1,1.711091766E0,9.386231232E0,9.559549959E0
1.342296167E0,-1.113684082E-1,1.900148621E0,9.078920288E0,9.276301057E0
1.352301167E0,-1.791773987E-1,1.690734100E0,9.437873840E0,9.589794000E0
1.362306167E0,-3.236270142E-1,1.360969849E0,9.481882324E0,9.584522199E0
1.372312167E0,-4.504133606E-1,1.158590698E0,9.449998627E0,9.531404862E0
1.382317167E0,-4.067042542E-1,1.166075134E0,9.344617767E0,9.425869763E0
1.392323167E0,-4.890330505E-1,1.178199921E0,9.360335083E0,9.446860920E0
1.402328167E0,-5.867797852E-1,1.110839996E0,9.377399597E0,9.461178532E0
1.412333167E0,-4.936734009E-1,9.394464111E-1,9.598789215E0,9.657278467E0
1.422339167E0,-3.728746033E-1,8.102650452E-1,1.013766861E1,1.017683103E1
1.432344167E0,-2.356100464E-1,8.860075378E-1,1.030906219E1,1.034974805E1
1.442349167E0,-8.232879639E-3,9.636959839E-1,1.035187317E1,1.039663676E1
1.452355167E0,7.065307617E-2,1.007554779E0,1.040231827E1,1.045123839E1
1.462360167E0,8.217910767E-2,1.168769531E0,1.024873764E1,1.031549315E1
1.472365167E0,6.870712280E-2,1.309177551E0,1.008991791E1,1.017472898E1
1.482371167E0,-3.742218018E-2,1.564396820E0,9.845775604E0,9.969354798E0
1.492376167E0,-2.013313293E-1,1.871408386E0,9.293573914E0,9.482258156E0
1.502382167E0,-4.650828552E-1,2.018851776E0,8.644373932E0,8.889165609E0
1.512387167E0,-5.528004456E-1,2.127376099E0,8.447982330E0,8.729245262E0
1.522392167E0,-7.500901794E-1,2.121388550E0,8.673712921E0,8.960815839E0
1.532398167E0,-1.156794434E0,1.987716522E0,8.885971527E0,9.178762461E0
1.542403167E0,-1.261277161E0,1.674418030E0,9.011410675E0,9.252027787E0
1.552408167E0,-9.190887451E-1,1.279988251E0,9.430838470E0,9.561579801E0
